corridor,corridor_tier,best_eligible_rank,eligible_county_count,total_corridor_population,nearest_store_distance_mi,max_interstate_segment_adt,leading_counties,recommendation_summary,overlap_review_flag,reference_market_flag,candidate_flag,watchlist_flag
I-64 / I-264 Hampton Roads,Candidate corridor,4,3,1649381,58.8,195000.0,"Virginia Beach city, Chesapeake city, Suffolk city","3 eligible county(ies), led by Virginia Beach city at rank 4. Nearest existing or planned store is 58.8 miles from an eligible county.",FALSE,FALSE,TRUE,FALSE
I-95 Richmond South,Candidate corridor,6,2,494141,33.4,131000.0,"Chesterfield, Dinwiddie","2 eligible county(ies), led by Chesterfield County at rank 6. Nearest existing or planned store is 33.4 miles from an eligible county. Spacing is close enough that trade-area overlap needs review before siting.",TRUE,FALSE,TRUE,FALSE
I-95 Richmond North,Candidate corridor,12,1,673681,32.5,131000.0,Hanover,"1 eligible county(ies), led by Hanover County at rank 12. Nearest existing or planned store is 32.5 miles from an eligible county. Spacing is close enough that trade-area overlap needs review before siting.",TRUE,FALSE,TRUE,FALSE
I-81 Winchester / Frederick,Candidate corridor,14,3,222130,39.7,72000.0,"Frederick, Warren, Shenandoah","3 eligible county(ies), led by Frederick County at rank 14. Nearest existing or planned store is 39.7 miles from an eligible county. Spacing is close enough that trade-area overlap needs review before siting.",TRUE,FALSE,TRUE,FALSE
I-81 Roanoke / Salem,Candidate corridor,15,3,365074,46.9,78000.0,"Roanoke, Botetourt, Rockbridge","3 eligible county(ies), led by Roanoke County at rank 15. Nearest existing or planned store is 46.9 miles from an eligible county.",FALSE,FALSE,TRUE,FALSE
I-64 Charlottesville,Candidate corridor,16,1,202087,30.5,55000.0,Albemarle,"1 eligible county(ies), led by Albemarle County at rank 16. Nearest existing or planned store is 30.5 miles from an eligible county. Spacing is close enough that trade-area overlap needs review before siting.",TRUE,FALSE,TRUE,FALSE
I-64 Richmond West,Candidate corridor,18,2,64625,40.9,81000.0,"Goochland, Louisa","2 eligible county(ies), led by Goochland County at rank 18. Nearest existing or planned store is 40.9 miles from an eligible county.",FALSE,FALSE,TRUE,FALSE
I-81 New River Valley,Watchlist corridor,21,3,194264,97.3,61000.0,"Montgomery, Pulaski, Wythe","3 eligible county(ies), led by Montgomery County at rank 21, but none reach the priority cutoffs. Nearest store is 97.3 miles from an eligible county.",FALSE,FALSE,FALSE,TRUE
I-81 Bristol / Southwest,Watchlist corridor,30,2,147661,105.7,63000.0,"Washington, Smyth","2 eligible county(ies), led by Washington County at rank 30, but none reach the priority cutoffs. Nearest store is 105.7 miles from an eligible county.",FALSE,FALSE,FALSE,TRUE
I-95 / I-85 Southside,Watchlist corridor,68,3,63236,64.6,43000.0,"Mecklenburg, Brunswick, Greensville","3 eligible county(ies), led by Mecklenburg County at rank 68, but none reach the priority cutoffs. Nearest store is 64.6 miles from an eligible county.",FALSE,FALSE,FALSE,TRUE
I-64 Richmond East / New Kent,Company-selected reference market,,0,30825,,,,"Already holds an open, announced or locally approved store. Reported for context, not a current expansion candidate.",FALSE,TRUE,FALSE,FALSE
I-81 Harrisonburg / Rockingham,Company-selected reference market,,0,286033,,,,"Already holds an open, announced or locally approved store. Reported for context, not a current expansion candidate.",FALSE,TRUE,FALSE,FALSE
I-95 Fredericksburg / Stafford,Company-selected reference market,,0,364320,,,,"Already holds an open, announced or locally approved store. Reported for context, not a current expansion candidate.",FALSE,TRUE,FALSE,FALSE
I-66 Piedmont,Not a current candidate,,0,134907,,,,"No eligible county. All 3 jurisdictions are screened out by overlap with an existing site, site feasibility or lack of measured interstate exposure.",FALSE,FALSE,FALSE,FALSE
I-95 / I-66 Northern Virginia,Not a current candidate,,0,2120018,,,,"No eligible county. All 8 jurisdictions are screened out by overlap with an existing site, site feasibility or lack of measured interstate exposure.",FALSE,FALSE,FALSE,FALSE
